,ed198803,ed198806,ed198809,ed198812,ed198903,ed198906,ed198909,ed198912,ed199003,ed199006,ed199009,ed199012,ed199103,ed199106,ed199109,ed199112,ed199203,ed199206,ed199209,ed199212,ed199303,ed199306,ed199309,ed199312,ed199403,ed199406,ed199409,ed199412,ed199503,ed199506,ed199509,ed199512,ed199603,ed199606,ed199609,ed199612,ed199703,ed199706,ed199709,ed199712,ed199803,ed199806,ed199809,ed199812,ed199903,ed199906,ed199909,ed199912,ed200003,ed200006,ed200009,ed200012,ed200103,ed200106,ed200109,ed200112,ed200203,ed200206,ed200209,ed200212,ed200303,ed200306,ed200309,ed200312,ed200403,ed200406,ed200409,ed200412,ed200503,ed200506,ed200509,ed200512,ed200603,ed200606,ed200609,ed200612,ed200703,ed200706,ed200709,ed200712,ed200803,ed200806,ed200809,ed200812,ed200903,ed200906,ed200909,ed200912,ed201003,ed201006,ed201009,ed201012,ed201103,ed201106,ed201109,ed201112,ed201203,ed201206,ed201209,ed201212,ed201303,ed201306,ed201309,ed201312,ed201403,ed201406,ed201409,ed201412,ed201503,ed201506,ed201509,ed201512,ed201603,ed201606,ed201609,ed201612,ed201703,ed201706,ed201709,ed201712,ed201803,ed201806,ed201809
2008-06-03 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.3225,97.23,97.035,96.9,96.695,96.48,96.25,96.08,95.91,95.765,95.625,95.545,95.465,95.405,95.335,95.305,95.255,95.21,95.14,95.105,95.06,95.015,94.945,94.91,94.865,94.82,94.76,94.725,94.68,94.635,94.57,94.54,94.5,94.455,94.39,94.37,94.34,94.305,94.26,94.255,NA,NA
2008-06-04 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.3025,97.205,97.02,96.905,96.705,96.49,96.25,96.075,95.895,95.73,95.575,95.485,95.395,95.33,95.255,95.22,95.165,95.115,95.04,95,94.95,94.9,94.825,94.79,94.745,94.7,94.64,94.605,94.56,94.515,94.45,94.42,94.38,94.335,94.27,94.25,94.22,94.185,94.14,94.135,NA,NA
2008-06-05 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2725,97.16,96.96,96.845,96.63,96.39,96.12,95.925,95.725,95.555,95.395,95.305,95.215,95.15,95.075,95.04,94.985,94.935,94.86,94.82,94.77,94.72,94.645,94.61,94.565,94.52,94.46,94.425,94.38,94.335,94.27,94.24,94.205,94.16,94.1,94.08,94.05,94.015,93.97,93.965,NA,NA
2008-06-06 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2675,97.17,96.985,96.895,96.71,96.465,96.17,95.95,95.745,95.58,95.435,95.355,95.275,95.215,95.145,95.115,95.065,95.02,94.95,94.915,94.87,94.82,94.745,94.71,94.665,94.62,94.56,94.525,94.48,94.435,94.37,94.34,94.305,94.26,94.2,94.18,94.15,94.115,94.07,94.065,NA,NA
2008-06-09 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.215,96.885,96.605,96.455,96.26,96.045,95.8,95.615,95.445,95.32,95.215,95.175,95.135,95.105,95.06,95.055,95.02,94.99,94.935,94.91,94.875,94.835,94.77,94.74,94.7,94.66,94.605,94.57,94.53,94.485,94.42,94.39,94.36,94.315,94.255,94.235,94.205,94.17,94.125,94.12,NA,NA
2008-06-10 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1925,96.805,96.435,96.25,96.04,95.82,95.58,95.405,95.255,95.15,95.065,95.04,95.015,94.99,94.95,94.945,94.915,94.89,94.835,94.81,94.78,94.74,94.675,94.645,94.61,94.575,94.52,94.49,94.45,94.41,94.345,94.32,94.29,94.25,94.195,94.175,94.145,94.115,94.07,94.065,NA,NA
2008-06-11 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2125,96.88,96.54,96.375,96.17,95.945,95.695,95.52,95.375,95.27,95.19,95.165,95.135,95.105,95.06,95.05,95.015,94.985,94.93,94.905,94.87,94.825,94.755,94.725,94.69,94.655,94.6,94.57,94.53,94.49,94.425,94.4,94.37,94.33,94.275,94.255,94.225,94.195,94.15,94.145,NA,NA
2008-06-12 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2025,96.735,96.385,96.175,95.94,95.71,95.47,95.31,95.17,95.06,94.97,94.94,94.915,94.89,94.85,94.845,94.82,94.795,94.745,94.725,94.695,94.66,94.6,94.575,94.545,94.515,94.465,94.445,94.41,94.375,94.315,94.295,94.27,94.23,94.175,94.155,94.13,94.1,94.055,94.05,NA,NA
2008-06-13 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1825,96.685,96.305,96.095,95.895,95.685,95.455,95.29,95.13,95,94.885,94.845,94.82,94.8,94.76,94.755,94.735,94.715,94.67,94.65,94.625,94.59,94.53,94.505,94.475,94.445,94.395,94.37,94.34,94.305,94.25,94.23,94.205,94.165,94.115,94.095,94.07,94.04,94,93.995,NA,NA
2008-06-16 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1875,96.655,96.295,96.11,95.905,95.685,95.44,95.27,95.115,95,94.905,94.88,94.86,94.84,94.795,94.79,94.77,94.75,94.705,94.685,94.66,94.625,94.565,94.54,94.51,94.48,94.43,94.405,94.375,94.34,94.285,94.265,94.24,94.2,94.15,94.13,94.105,94.075,94.035,94.03,94.01,NA
