,dummy,ed200609,ed200612,ed200703,ed200709,ed200712,ed200803,ed200806,ed200809,ed200812
2006-05-25 15:00:00,NA,94.645,94.64,94.695,94.74,94.725,94.715,94.685,94.66,94.62
2006-05-26 15:00:00,NA,94.655,94.66,94.715,94.755,94.745,94.735,94.71,94.685,94.645
2006-05-30 15:00:00,NA,94.635,94.63,94.675,94.71,94.7,94.695,94.67,94.645,94.605
2006-05-31 15:00:00,NA,94.575,94.565,94.61,94.645,94.64,94.635,94.61,94.59,94.55
2006-06-01 15:00:00,NA,94.575,94.565,94.61,94.655,94.65,94.645,94.62,94.6,94.56
2006-06-02 15:00:00,NA,94.69,94.695,94.755,94.81,94.8,94.79,94.765,94.74,94.7
2006-06-05 15:00:00,NA,94.61,94.615,94.68,94.755,94.75,94.74,94.715,94.695,94.655
2006-06-06 15:00:00,NA,94.585,94.59,94.655,94.74,94.74,94.735,94.715,94.695,94.66
2006-06-07 15:00:00,NA,94.57,94.57,94.625,94.705,94.705,94.7,94.68,94.66,94.625
2006-06-08 15:00:00,NA,94.575,94.585,94.645,94.74,94.74,94.735,94.715,94.695,94.66
2006-06-09 15:00:00,NA,94.57,94.575,94.635,94.73,94.735,94.735,94.715,94.7,94.665
2006-06-12 15:00:00,NA,94.565,94.57,94.625,94.71,94.715,94.715,94.695,94.68,94.65
2006-06-13 15:00:00,NA,94.56,94.575,94.645,94.745,94.75,94.75,94.73,94.715,94.685
2006-06-14 15:00:00,NA,94.47,94.47,94.53,94.635,94.645,94.65,94.63,94.615,94.58
2006-06-15 15:00:00,NA,94.425,94.43,94.485,94.585,94.595,94.6,94.58,94.565,94.53
2006-06-16 15:00:00,NA,94.415,94.41,94.46,94.555,94.565,94.565,94.545,94.525,94.49
2006-06-19 15:00:00,NA,94.405,94.395,94.435,94.52,94.53,94.535,94.515,94.495,94.465
2006-06-20 15:00:00,NA,94.4,94.385,94.42,94.5,94.51,94.515,94.5,94.48,94.45
2006-06-21 15:00:00,NA,94.395,94.38,94.415,94.495,94.51,94.515,94.5,94.48,94.45
2006-06-22 15:00:00,NA,94.36,94.33,94.36,94.45,94.465,94.475,94.46,94.435,94.405
2006-06-23 15:00:00,NA,94.335,94.305,94.335,94.425,94.44,94.45,94.435,94.41,94.375
2006-06-26 15:00:00,NA,94.325,94.3,94.325,94.41,94.43,94.445,94.43,94.405,94.37
2006-06-27 15:00:00,NA,94.34,94.32,94.35,94.435,94.45,94.46,94.45,94.425,94.39
2006-06-28 15:00:00,NA,94.33,94.295,94.315,94.395,94.41,94.42,94.405,94.38,94.35
2006-06-29 15:00:00,NA,94.395,94.38,94.405,94.475,94.48,94.48,94.465,94.44,94.405
2006-06-30 15:00:00,NA,94.42,94.405,94.44,94.53,94.545,94.55,94.535,94.51,94.475
2006-07-03 15:00:00,NA,94.4,94.375,94.415,94.515,94.535,94.54,94.525,94.5,94.465
2006-07-05 15:00:00,NA,94.34,94.295,94.325,94.43,94.45,94.455,94.44,94.415,94.38
2006-07-06 15:00:00,NA,94.35,94.315,94.345,94.46,94.485,94.495,94.48,94.455,94.42
2006-07-07 15:00:00,NA,94.385,94.36,94.395,94.52,94.545,94.555,94.54,94.515,94.48
2006-07-10 15:00:00,NA,94.385,94.35,94.385,94.52,94.545,94.555,94.54,94.515,94.48
2006-07-11 15:00:00,NA,94.395,94.375,94.415,94.555,94.58,94.59,94.575,94.555,94.525
2006-07-12 15:00:00,NA,94.395,94.375,94.41,94.55,94.575,94.585,94.575,94.555,94.525
